Отметка времени,Сколько вам лет?,Ваш пол?,Я...,Где вы продвигаете свои товары?,Насколько тяжело находить клиентов?,"Хотели бы вы, чтобы о ваших товаров узнали как можно больше людей, в следствие чего увеличить продажи?",Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Где вы продвигаете свои  созданные товары?,Насколько тяжело находить клиентов?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок ?
2022-05-22 23:15:37.947000,19-24,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 23:28:46.867000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 23:47:49.952000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждый месяц,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-23 00:10:39.769000,16-18,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-23 00:36:13.684000,16-18,Мужской,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Avito,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-23 02:54:26.439000,27-40,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Не продаю свои работы,"Нет, меня итак все устраивает",Редко,Не заказываю,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-23 10:17:01.225000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-23 14:26:23.772000,40-60,Женский,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-23 14:31:08.175000,27-40,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Тяжело. Раз в месяц,Редко,Редко,Instagram,Нахожу подарок достаточно быстро
2022-05-23 14:34:00.375000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждый месяц,Редко,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None
